ID,ground_truth_label,mapa_default_label,mapa_optimized_label,paver_default_label,paver_optimized_label,apear_default_cluster,apear_optimized_cluster,enrichplot_default_cluster,enrichplot_optimized_cluster
GO:0042634,42,14,27,4,10,151,128,5,53
GO:0060688,42,14,27,4,30,239,201,10,38
GO:0061036,43,42,27,4,40,100,196,3,12
GO:0061037,44,5,27,4,40,100,91,3,60
GO:0006284,5,10,28,2,18,28,27,14,24
GO:0006289,5,10,28,2,18,29,28,15,25
GO:0006298,5,10,28,2,18,30,29,8,26
GO:0021766,54,7,29,3,4,81,74,8,46
GO:0021854,54,7,29,3,4,83,74,16,1
GO:0090102,54,7,29,3,4,256,195,13,70
GO:0001675,3,39,30,1,7,10,9,8,8
GO:0007288,3,39,30,1,7,60,54,5,11
GO:0051382,47,4,30,1,1,223,187,5,5
GO:0001655,54,34,31,3,4,9,8,7,7
GO:0021510,54,19,31,3,4,80,73,16,54
GO:0048483,54,19,31,3,4,210,179,14,10
GO:0048806,38,34,31,3,4,215,108,9,62
GO:1904888,54,20,31,3,39,289,194,11,40
GO:0001941,46,41,32,1,9,14,13,10,12
GO:0099560,52,17,32,1,23,268,219,13,39
GO:0001541,54,34,33,3,4,5,5,1,4
GO:0001824,54,40,33,3,4,13,12,10,11
GO:0001942,54,34,33,4,10,15,14,4,13
GO:0031018,54,21,33,3,41,91,82,6,57
GO:0060021,54,31,33,3,39,230,193,16,44
GO:0060324,54,32,33,3,39,233,193,9,40
GO:0060612,38,34,33,3,41,238,200,2,14
GO:0001961,18,42,34,5,11,16,15,10,14
GO:0043406,30,42,34,5,52,157,134,1,53
GO:0045745,18,42,34,5,52,183,156,5,62
GO:0045747,18,42,34,5,52,185,158,16,35
GO:0045880,18,42,34,5,27,188,50,2,59
GO:0046628,18,42,34,5,44,199,170,12,48
GO:0050857,18,42,34,5,52,218,183,4,20
GO:0051897,57,42,34,5,52,225,188,14,18
GO:0060391,57,42,34,5,27,234,196,1,52
GO:0070374,30,42,34,5,52,245,188,11,4
GO:1900745,30,42,34,5,52,280,228,8,15
GO:1901798,57,42,34,5,52,285,232,1,34
GO:2001244,57,42,34,5,33,299,232,11,1
GO:0001556,3,34,35,3,4,6,5,4,1
GO:0048240,3,30,35,1,7,208,177,4,12
GO:0001570,24,38,36,3,5,7,6,5,5
GO:0035265,25,24,36,4,30,128,110,12,57
GO:0048534,38,34,36,3,5,213,181,17,43
GO:0008543,10,14,37,6,26,65,59,15,8
GO:0038084,10,14,37,6,26,139,119,17,24
GO:0048008,10,14,37,6,26,202,173,2,56
GO:0048009,10,14,37,6,26,203,56,8,47
GO:0048010,10,14,37,6,26,204,119,17,24
GO:0060396,10,14,37,6,26,237,199,10,28
GO:0008038,39,18,38,3,16,61,55,6,46
GO:0042551,39,34,38,3,16,150,127,2,68
GO:0048663,32,34,38,3,8,214,10,9,9
GO:0009074,36,23,39,2,17,66,60,5,8
GO:0009083,36,23,39,2,17,67,61,10,48
GO:0042219,14,23,39,2,17,146,125,7,67
GO:0043171,14,23,39,2,17,156,133,17,31
GO:0043649,36,23,39,2,17,163,139,15,9
GO:0044273,14,23,39,2,17,164,125,17,67
GO:0170035,36,23,39,2,17,276,61,5,8
GO:0000423,21,23,40,1,3,4,4,3,3
GO:0044804,21,23,40,1,3,166,4,3,3
GO:0061709,21,23,40,1,3,240,4,7,3
GO:0030324,38,20,41,3,39,86,78,10,25
GO:0060037,54,20,41,3,39,231,194,7,7
GO:0002931,7,6,42,8,15,24,23,2,21
GO:0009409,7,6,42,8,31,68,62,10,19
GO:0035902,7,6,42,8,15,134,115,16,24
GO:0071456,26,6,42,8,15,251,208,14,36
GO:0010744,35,14,43,4,34,72,66,13,29
GO:0045600,35,42,43,4,34,173,147,6,12
GO:0045663,35,42,43,4,46,176,150,5,22
GO:0010661,29,42,44,5,33,71,65,13,50
GO:0043525,29,42,44,5,33,159,135,14,67
GO:2000108,29,42,44,5,33,293,236,14,13
GO:2000353,29,42,44,5,33,294,237,17,18
GO:0032098,48,14,45,5,44,98,89,11,59
GO:0043114,48,14,45,5,32,153,130,11,51
GO:0007187,11,14,46,6,24,48,45,7,39
GO:0007212,11,14,46,6,24,51,47,2,40
GO:0007213,11,14,46,6,24,52,45,1,41
GO:0007218,11,14,46,6,24,53,48,5,42
GO:0071875,11,14,46,6,24,254,211,7,57
GO:0007224,9,5,47,5,27,55,50,6,43
GO:0060395,53,5,47,5,27,236,198,1,26
GO:0071526,9,14,47,6,26,252,209,10,17
GO:0007219,9,14,48,6,26,54,49,15,11
GO:0007229,9,14,48,6,26,56,51,14,20
GO:0035590,9,14,48,6,26,133,102,3,26
GO:0038179,9,14,48,6,26,140,120,7,66
GO:0048013,10,14,48,6,26,205,174,1,28
GO:0070098,11,14,48,6,26,244,204,12,39
GO:0010575,2,42,49,5,32,69,63,9,45
GO:0032722,2,42,49,5,11,107,96,4,61
GO:0045907,43,42,49,5,32,189,161,9,39
GO:0048520,43,42,49,5,42,212,180,15,72
GO:0120162,43,42,49,5,58,270,221,2,16
GO:0010984,42,23,50,6,35,73,67,11,16
GO:0034381,25,23,50,6,35,122,67,13,42
GO:0097242,25,23,50,6,55,262,141,14,69
GO:0007249,53,5,51,6,28,57,52,9,22
GO:0038061,53,5,51,6,28,138,52,9,22
GO:0007271,12,41,52,6,29,58,53,11,44
GO:0035249,12,41,52,6,29,127,109,5,19
GO:0051932,12,41,52,6,29,227,190,17,8
GO:0007274,12,41,53,6,29,59,53,13,45
GO:0032228,40,41,54,6,45,99,90,1,56
GO:0099149,48,41,54,6,45,264,216,7,28
GO:0099170,40,41,54,6,45,265,217,5,65
GO:0099171,40,41,54,6,45,266,53,2,19
GO:0099550,40,41,54,6,45,267,218,15,41
GO:0033280,55,6,55,8,31,118,103,5,19
GO:0034698,16,6,55,8,31,125,108,15,19
GO:0043627,16,6,55,8,31,162,138,7,67
GO:0044321,16,6,55,5,44,165,140,9,65
GO:0097066,16,6,55,8,31,261,214,1,25
GO:0040019,43,42,56,4,30,142,122,10,23
GO:0045618,43,42,56,4,46,174,148,6,30
GO:0045666,35,42,56,4,46,178,152,11,45
GO:0045669,35,42,56,4,46,180,153,12,49
GO:1902459,43,42,56,4,37,287,233,14,21
GO:0032467,51,42,57,5,47,101,92,4,55
GO:0045840,51,42,57,5,47,186,159,16,68
GO:0051984,51,42,57,5,47,229,192,12,62
GO:0090267,51,42,57,5,47,258,192,1,68
GO:0033144,56,5,58,7,49,116,101,13,63
GO:0034122,19,5,58,7,49,121,105,11,6
GO:0035331,56,5,58,5,50,130,112,10,15
GO:0043124,56,5,58,7,49,155,132,16,66
GO:0045744,19,5,58,7,49,182,155,13,64
GO:0045746,19,5,58,7,49,184,157,17,54
GO:0045879,19,5,58,7,49,187,160,8,60
GO:0046627,19,5,58,5,44,198,169,17,70
GO:0051898,56,5,58,7,49,226,189,14,20
GO:0060392,56,5,58,7,49,235,197,16,31
GO:0141162,56,5,58,7,49,274,164,16,29
GO:1900102,56,5,58,7,49,279,227,15,53
GO:1901223,56,5,58,7,49,282,229,17,67
GO:0032729,2,42,59,7,48,108,97,4,16
GO:0032733,2,42,59,5,11,109,96,10,62
GO:0032735,2,42,59,5,11,110,96,8,61
GO:0032736,2,42,59,5,11,111,98,11,47
GO:0032740,2,42,59,5,11,112,99,17,23
GO:0032743,2,42,59,5,11,113,97,17,21
GO:0032753,2,42,59,5,11,111,98,13,47
GO:0032755,2,42,59,5,11,107,96,13,61
