ID,ground_truth_label,mapa_label,paver_label,apear_cluster,enrichplot_cluster
GO:0000423,21,23,1,4,3
GO:0006308,4,23,2,32,13
GO:0006896,20,23,1,41,4
GO:0007030,8,23,1,43,14
GO:0008333,20,23,1,63,2
GO:0009074,36,23,2,66,5
GO:0009083,36,23,2,67,10
GO:0010984,42,23,6,73,11
GO:0015701,6,23,1,74,1
GO:0019748,13,23,2,77,16
GO:0019755,6,23,1,78,5
GO:0022616,4,23,2,84,1
GO:0030574,14,23,4,87,10
GO:0030968,27,23,6,90,7
GO:0031579,46,23,1,94,15
GO:0034381,25,23,6,122,13
GO:0034389,8,23,1,123,2
GO:0036503,28,23,6,137,3
GO:0042147,20,23,1,144,11
GO:0042178,14,23,2,145,15
GO:0042219,14,23,2,146,7
GO:0042908,6,23,1,152,14
GO:0043171,14,23,2,156,17
GO:0043649,36,23,2,163,15
GO:0044273,14,23,2,164,17
GO:0044804,21,23,1,166,3
GO:0045056,25,23,1,167,6
GO:0046033,15,23,2,190,9
GO:0046037,15,23,2,191,5
GO:0046039,15,23,2,192,12
GO:0046058,15,23,2,193,6
GO:0046068,15,23,2,194,11
GO:0048489,6,23,1,211,6
GO:0050435,13,23,6,216,6
GO:0051180,6,23,1,221,16
GO:0061709,21,23,1,240,7
GO:0061909,21,23,1,242,12
GO:0070633,6,23,1,246,1
GO:0072348,6,23,1,255,13
GO:0090382,8,23,1,259,7
GO:0097242,25,23,6,262,14
GO:0097352,21,23,1,243,8
GO:0170035,36,23,2,276,5
GO:1902774,20,23,1,243,3
GO:0035265,25,24,4,128,12
GO:0035459,6,25,1,132,14
GO:0048208,47,25,1,207,6
GO:0048268,47,25,1,209,9
GO:0042430,13,26,2,148,3
GO:0043555,26,27,8,160,6
GO:0045730,13,28,8,181,7
GO:0046597,31,29,7,196,13
GO:0048240,3,30,1,208,4
GO:0060021,54,31,3,230,16
GO:0060324,54,32,3,233,9
GO:0061952,46,33,1,243,3
GO:0001541,54,34,3,5,1
GO:0001556,3,34,3,6,4
GO:0001649,24,34,3,8,6
GO:0001655,54,34,3,9,7
GO:0001708,32,34,3,11,2
GO:0001709,32,34,3,12,9
GO:0001942,54,34,4,15,4
GO:0002062,24,34,3,17,11
GO:0002244,24,34,3,19,11
GO:0002360,32,34,3,21,3
GO:0035987,24,34,3,135,5
GO:0042551,39,34,3,150,2
GO:0045444,24,34,3,168,12
GO:0045445,24,34,3,169,16
GO:0048534,38,34,3,213,17
GO:0048663,32,34,3,214,9
GO:0048806,38,34,3,215,9
GO:0050931,24,34,3,219,9
GO:0060612,38,34,3,238,2
GO:0090148,46,35,1,257,3
GO:0090398,26,36,4,260,2
GO:0120009,46,37,1,269,15
GO:0001570,24,38,3,7,5
GO:0001675,3,39,1,10,8
GO:0007288,3,39,1,60,5
GO:0001824,54,40,3,13,10
GO:0001941,46,41,1,14,10
GO:0007271,12,41,6,58,11
GO:0007274,12,41,6,59,13
GO:0032228,40,41,6,99,1
GO:0035249,12,41,6,127,5
GO:0051932,12,41,6,227,17
GO:0099149,48,41,6,264,7
GO:0099170,40,41,6,265,5
GO:0099171,40,41,6,266,2
GO:0099550,40,41,6,267,15
GO:0150052,45,41,6,275,3
GO:1904889,45,41,6,290,14
GO:1905606,45,41,6,292,13
GO:2000463,18,41,5,295,5
GO:0001961,18,42,5,16,10
GO:0007204,48,42,8,50,5
GO:0010575,2,42,5,69,9
GO:0010661,29,42,5,71,13
GO:0031340,41,42,5,92,10
GO:0031663,9,42,6,95,10
GO:0031664,17,42,6,96,9
GO:0032467,51,42,5,101,4
GO:0032722,2,42,5,107,4
GO:0032729,2,42,7,108,4
GO:0032733,2,42,5,109,10
GO:0032735,2,42,5,110,8
GO:0032736,2,42,5,111,11
GO:0032740,2,42,5,112,17
GO:0032743,2,42,5,113,17
GO:0032753,2,42,5,111,13
GO:0032755,2,42,5,107,13
GO:0032757,2,42,5,114,8
GO:0032892,41,42,5,115,7
GO:0040019,43,42,4,142,10
GO:0043123,57,42,5,154,10
GO:0043406,30,42,5,157,1
GO:0043525,29,42,5,159,14
GO:0045600,35,42,4,173,6
GO:0045618,43,42,4,174,6
GO:0045663,35,42,4,176,5
GO:0045666,35,42,4,178,11
GO:0045669,35,42,4,180,12
GO:0045745,18,42,5,183,5
GO:0045747,18,42,5,185,16
GO:0045840,51,42,5,186,16
GO:0045880,18,42,5,188,2
GO:0045907,43,42,5,189,9
GO:0046330,30,42,5,195,10
GO:0046628,18,42,5,199,12
GO:0048520,43,42,5,212,15
GO:0050857,18,42,5,218,4
GO:0051590,41,42,5,224,1
GO:0051897,57,42,5,225,14
GO:0051954,41,42,5,115,14
GO:0051965,45,42,6,228,17
GO:0051984,51,42,5,229,12
GO:0060391,57,42,5,234,1
GO:0061036,43,42,4,100,3
GO:0070374,30,42,5,245,11
GO:0090267,51,42,5,258,1
GO:0120162,43,42,5,270,2
GO:1900017,2,42,5,278,6
GO:1900745,30,42,5,280,8
GO:1901224,57,42,5,283,5
GO:1901798,57,42,5,285,1
GO:1902459,43,42,4,287,14
GO:2000108,29,42,5,293,14
GO:2000353,29,42,5,294,17
GO:2001244,57,42,5,299,11
