"cluster","n_pairs_all","median_all","q1_all","q3_all","n_pairs_reporting","median_reporting","q1_reporting","q3_reporting"
4,10,0.809658696758104,0.802602986971416,0.838900226878637,10,0.809658696758104,0.802602986971416,0.838900226878637
5,10,0.769481931739052,0.325816069540591,0.83884822878223,6,0.83803666321602,0.812255116534622,0.85592716864789
7,10,0.81190527792988,0.739237046519396,0.828522200419939,10,0.81190527792988,0.739237046519396,0.828522200419939
8,10,0.798743727609037,0.788582609783746,0.82152976678614,10,0.798743727609037,0.788582609783746,0.82152976678614
9,10,0.839084066666267,0.79434301117694,0.857951125540404,10,0.839084066666267,0.79434301117694,0.857951125540404
10,10,0.801157055605084,0.756645737262462,0.854398847824456,10,0.801157055605084,0.756645737262462,0.854398847824456
11,10,0.82738938633901,0.774320010746133,0.844069146340922,10,0.82738938633901,0.774320010746133,0.844069146340922
12,10,0.835959514106909,0.797000718655571,0.860338146199932,10,0.835959514106909,0.797000718655571,0.860338146199932
